text,mood
I am very happy today,Happy
I feel amazing and joyful,Happy
Life is beautiful,Happy
I am smiling all day,Happy
This is the best day ever,Happy
I feel excited and positive,Happy
Everything is awesome,Happy
I feel cheerful,Happy
I am feeling great,Happy
I am enjoying my time,Happy
I feel blessed,Happy
I am laughing a lot,Happy

I feel sad and lonely,Sad
I am heartbroken,Sad
I feel depressed,Sad
I want to cry,Sad
Today is a bad day,Sad
I feel down,Sad
I am not okay,Sad
I feel emotional,Sad
I feel hopeless,Sad
I am tired of everything,Sad
I feel empty,Sad
I am feeling low,Sad

I am very angry,Angry
I feel frustrated,Angry
I am mad right now,Angry
This makes me furious,Angry
I feel irritated,Angry
I am annoyed,Angry
I feel rage,Angry
I am losing my temper,Angry
I feel aggressive,Angry
I am shouting in anger,Angry
I feel angry at everyone,Angry
I am extremely upset,Angry

I feel calm and relaxed,Relaxed
I am peaceful,Relaxed
I feel comfortable,Relaxed
I am stress free,Relaxed
I feel chill today,Relaxed
I am enjoying quiet time,Relaxed
I feel balanced,Relaxed
I am at peace,Relaxed
I feel light and easy,Relaxed
I am resting peacefully,Relaxed
I feel calm inside,Relaxed
I am cool and relaxed,Relaxed

I feel energetic,Energetic
I am full of energy,Energetic
I feel powerful,Energetic
I am excited,Energetic
I want to dance,Energetic
I feel pumped,Energetic
I am active today,Energetic
I feel motivated,Energetic
I am ready to go,Energetic
I feel unstoppable,Energetic
I am super active,Energetic
I feel dynamic and strong,Energetic
